,NAO(J),NAO,EA_WR,NP,NBRA,AMO(s),TNA,PWR,SWMRR,BEST,PNA,TNI,Hurricane activity,SR,AMM,AMO,SF,Niño(3),SOI,TSA,Niño(4),QBO,PDO,GMOT,Niño(3.4),EP_NP,AT,NOI,Niño(1+2),WHWP,CIP,TPI(IPO),Month,AO,WP,CAR,ONI,AAO,ENSO,MEI,GIAM,NTA
17,-1.51,,,1016.56,45.0,0.114,-0.3,-0.7170000000000001,1.57,0.0,,-0.13,0.0,-46.0,-1.55,-0.003,1575.0,,,0.05,,-9.43,-0.7,-0.23,,,-0.58,-1.579,,-0.6,1094.0,-0.15,6,,,,,,,,,
18,-0.93,,,1018.76,-79.0,0.111,-0.21,-0.551,2.49,-0.06,,-0.23199999999999998,0.0,51.0,-0.19,0.067,1599.0,,,0.16,,-9.07,-0.56,-0.06,,,0.126,-0.048,,-1.04,3198.0,-0.25,7,,,,,,,,,
19,1.38,,,1017.02,102.0,0.10800000000000001,-0.05,-0.7879999999999999,1.35,0.08,,-0.457,8.0,263.0,0.77,0.098,1752.0,,,0.21,,-9.08,-1.3,-0.13,,,0.612,0.7070000000000001,,-2.09,1696.0,-0.4,8,,,,,,,,,
20,-1.81,,,1013.08,138.0,0.10400000000000001,0.02,-0.8809999999999999,1.52,-0.42,,-0.498,8.75,-213.0,0.89,0.066,1725.0,,,0.23,,-8.32,-0.93,-0.06,,,0.495,-0.233,,-0.81,3067.0,-0.99,9,,,,,,,,,
21,1.38,,,1012.41,-93.0,0.1,0.12,-0.87,0.79,-0.59,,-0.087,4.25,-75.0,0.8,0.1,1782.0,,,0.04,,-7.01,-1.41,0.02,,,0.20199999999999999,3.522,,-1.77,595.0,-1.13,10,,,,,,,,,
22,0.54,,,1008.08,210.0,0.09699999999999999,-0.11,-0.723,0.25,-0.29,,0.11900000000000001,0.0,24.0,0.16,0.10400000000000001,1804.0,,,0.02,,-6.43,-0.83,-0.07,,,-0.597,-0.836,,-1.03,20.0,-1.12,11,,,,,,,,,
23,0.11,,,1010.48,-88.0,0.094,0.06,-0.6829999999999999,0.9,-0.91,,0.28300000000000003,0.0,48.0,0.46,0.114,1652.0,,,-0.16,,-7.24,-0.8,-0.11,,,-0.363,4.2139999999999995,,-0.32,0.0,-1.03,12,,,,,,,,,
24,0.55,0.56,2.29,1014.87,-30.0,0.092,-0.14,-0.509,0.58,-0.74,-3.65,0.624,0.0,4.0,0.53,0.106,1507.0,-2.1,,0.08,-1.38,-8.99,-2.13,-0.23,-1.99,0.91,-0.5710000000000001,2.6439999999999997,-1.55,-0.17,17.0,-1.12,1,-0.06,-1.69,,-1.53,,,,,
25,3.31,0.01,-0.57,1010.4,-38.0,0.091,-0.36,-0.423,0.73,-1.7,-1.69,0.445,0.0,3.0,-1.07,-0.038,1433.0,-1.52,,0.15,-1.53,-11.37,-2.91,-0.27,-1.69,-1.13,-1.1059999999999999,2.077,-1.78,-0.3,50.0,-1.38,2,0.627,-1.36,-0.27,-1.34,,,,,-0.49
26,0.82,-0.78,-1.8,1008.13,82.0,0.08800000000000001,-0.37,-0.44299999999999995,0.39,-1.43,-0.06,0.382,0.0,-19.0,-1.26,-0.11,1378.0,-0.84,,0.12,-1.8,-10.63,-1.13,-0.04,-1.42,-0.02,-0.62,3.091,-1.38,-0.96,85.0,-1.09,3,-0.008,-0.38,-0.36,-1.16,,,,,-0.49
27,1.61,0.65,-2.5,1015.49,81.0,0.086,-0.11,-0.542,0.23,-1.29,-0.23,0.311,0.0,-33.0,0.72,-0.135,1643.0,-1.14,,-0.17,-1.73,-8.19,-1.2,-0.23,-1.54,-1.87,-0.23,1.923,-1.9,-1.93,15.0,-1.1,4,0.555,-0.5,-0.38,-1.18,,,,,-0.46
28,-1.73,-0.5,1.41,1015.47,-26.0,0.084,-0.25,-0.561,0.13,-1.22,-0.4,0.124,0.0,-18.0,1.05,-0.063,1571.0,-1.57,,-0.34,-1.18,-6.09,-2.23,-0.23,-1.75,-0.98,-0.27899999999999997,2.211,-1.74,-2.27,85.0,-1.28,5,0.07200000000000001,0.23,-0.41,-1.07,,,,,-0.35
29,1.26,0.25,1.27,1015.51,-106.0,0.083,-0.13,-0.37,0.8,-1.69,-1.99,0.213,0.0,-46.0,0.28,-0.047,1287.0,-1.11,,-0.23,-0.84,-6.61,-1.77,-0.1,-1.27,-0.47,-0.21899999999999997,1.014,-1.79,-2.23,584.0,-1.01,6,0.539,1.31,-0.43,-0.85,,,,,-0.42
30,-0.87,-1.23,3.01,1016.23,-74.0,0.084,-0.18,-0.442,3.14,-1.69,-0.82,0.293,0.0,276.0,0.21,-0.06,1341.0,-0.9,,-0.16,-1.26,-7.11,-2.93,-0.06,-1.01,1.38,-0.873,-0.336,-1.65,-2.12,3985.0,-1.58,7,-0.802,1.8,-0.46,-0.54,,,,,-0.41
31,-0.28,-0.19,0.52,1012.76,-34.0,0.084,-0.16,-0.47100000000000003,0.91,-0.96,0.79,0.316,16.0,1045.0,1.21,0.016,1209.0,-0.65,,-0.34,-1.25,-6.51,-0.7,-0.32,-0.97,1.87,-0.631,-0.23600000000000002,-0.88,-2.62,1506.0,-1.28,8,-0.851,1.08,-0.45,-0.42,,,,,-0.47
32,1.51,0.39,-0.32,1012.62,-18.0,0.085,-0.06,-0.79,1.26,-0.95,-1.0,0.564,24.25,509.0,1.26,0.005,986.0,-0.89,,-0.51,-1.49,-3.82,-2.14,-0.14,-0.98,0.98,-0.637,0.17,-1.17,-0.52,2418.0,-1.33,9,0.358,1.36,-0.38,-0.39,,,,,-0.5
33,0.78,1.43,0.04,1010.76,-45.0,0.087,-0.18,-0.711,0.1,-1.27,0.7,0.69,12.75,170.0,1.27,-0.095,999.0,-0.81,,-0.54,-1.63,-2.39,-1.36,-0.21,-1.03,-0.88,-0.35,-2.54,-1.02,-2.14,196.0,-1.31,10,-0.379,1.45,-0.34,-0.44,,,,,-0.45
34,0.78,-1.46,-1.72,1016.37,-18.0,0.08900000000000001,-0.09,-0.625,0.16,-1.12,-1.74,0.993,0.0,2.0,1.87,0.075,1019.0,-1.24,,-0.46,-1.7,-2.18,-2.46,-0.33,-1.23,-0.39,-0.16699999999999998,0.483,-1.8,-0.82,4.0,-1.26,11,-0.515,-0.37,-0.35,-0.6,,,,,-0.29
35,-1.88,-1.03,-2.31,1007.97,-63.0,0.09,0.18,-0.6759999999999999,0.08,-1.61,-0.28,1.239,0.0,-2.0,3.03,0.084,1011.0,-1.08,,-0.92,-1.4,-3.31,-0.76,-0.21,-1.31,,0.451,-1.545,-1.09,-0.32,83.0,-0.89,12,-1.9280000000000002,0.07,-0.4,-0.8,,,,,-0.09
36,0.82,-0.42,-0.74,1008.32,-105.0,0.09,0.06,-0.5820000000000001,1.22,-1.13,-1.18,1.315,0.0,2.0,2.14,0.098,1079.0,-0.87,2.5,-0.98,-1.1,-6.01,-1.54,-0.44,-1.3,-0.81,0.306,2.702,-0.46,-0.17,34.0,-0.91,1,-0.085,-0.07,-0.46,-0.82,,,,,-0.08
37,0.93,0.35,-1.66,1011.16,-94.0,0.08900000000000001,-0.17,-0.715,0.5,-0.69,-2.11,1.4609999999999999,0.0,2.0,0.94,-0.006,1019.0,-0.76,1.5,-0.7,-1.11,-5.32,-1.06,-0.49,-1.04,-1.32,-0.43799999999999994,1.8780000000000001,-0.91,-0.3,12.0,-0.8,2,-0.4,-0.58,-0.49,-0.54,,,,,-0.12
38,-2.01,-1.47,0.11,1015.69,-203.0,0.087,-0.07,-0.67,0.53,-0.24,-1.09,1.59,0.0,37.0,2.29,0.008,1025.0,-0.33,-0.2,-0.87,-0.58,-1.93,-1.9,-0.19,-0.38,0.2,0.298,3.103,-0.75,-0.93,108.0,-0.89,3,-1.9340000000000002,-0.29,-0.5,-0.17,,,,,-0.08
39,-0.45,-0.38,-2.31,1011.91,-42.0,0.087,0.17,-0.665,1.31,0.33,0.47,1.4569999999999999,0.0,-23.0,3.63,0.16399999999999998,1271.0,-0.21,-0.5,-0.51,-0.42,0.91,-0.36,-0.09,-0.23,0.02,1.1840000000000002,-3.88,-0.25,-0.7,68.0,-0.43,4,-0.7759999999999999,-0.19,-0.42,0.18,,,,,0.03
40,-2.11,-0.5,0.93,1012.74,-121.0,0.086,0.14,-0.535,0.79,0.71,1.19,1.615,6.5,119.0,3.7,0.168,1686.0,-0.18,-1.1,-0.37,0.26,2.26,-0.25,0.0,-0.01,-0.04,0.775,-2.213,0.17,-0.93,93.0,0.02,5,-0.863,0.7,-0.28,0.36,,,,,0.08
41,-1.16,-1.35,1.91,1014.2,85.0,0.083,0.17,-0.624,0.18,0.19,-0.54,1.6269999999999998,0.0,-40.0,3.85,0.285,1617.0,0.04,0.3,-0.26,0.08,-0.3,-1.09,-0.17,0.0,-0.62,1.146,-0.903,1.49,-0.56,1218.0,0.11,6,-0.9179999999999999,0.1,-0.11,0.58,,,,,0.03
42,1.1,1.39,-0.86,1017.91,-74.0,0.083,0.41,-0.6659999999999999,1.6,1.33,-0.44,1.521,0.0,-29.0,2.87,0.41700000000000004,1163.0,0.62,-1.7,-0.11,0.23,-2.7,0.7,-0.16,0.3,0.98,1.9180000000000001,-0.336,1.86,-0.07,2536.0,0.81,7,0.09,0.88,0.02,0.7,,,,,-0.05
43,0.85,-0.41,-3.26,1016.23,-80.0,0.084,0.2,-0.746,3.8,1.01,0.02,1.493,7.0,237.0,0.98,0.299,1098.0,0.41,-0.4,0.05,-0.26,-5.31,-1.37,0.05,0.17,0.41,0.826,-0.872,1.17,2.23,1880.0,0.33,8,-0.377,0.73,0.06,0.89,,,,,-0.12
44,-0.22,-1.18,-0.26,1012.42,-101.0,0.084,0.15,-0.521,0.36,1.1,-0.08,1.255,15.5,474.0,-0.04,0.245,1178.0,0.46,-1.8,0.05,-0.12,-5.92,-0.08,-0.04,0.51,1.42,0.14800000000000002,-1.36,0.56,1.5,746.0,0.4,9,-0.818,-3.45,0.08,0.99,,,,,-0.22
45,-0.13,2.54,0.59,1011.47,-98.0,0.084,0.09,-0.39299999999999996,1.09,1.15,0.43,0.799,4.25,720.0,-0.97,0.255,1060.0,0.6,-1.6,0.03,-0.22,-4.59,-0.32,0.04,0.49,-0.11,0.231,0.21,0.72,1.55,627.0,0.73,10,-0.213,-0.47,0.05,1.15,,,,,-0.27
46,-0.97,-0.54,0.48,1009.47,109.0,0.083,-0.03,-0.44299999999999995,0.86,0.91,0.21,0.49200000000000005,0.0,83.0,-1.19,0.17,1044.0,0.8,-1.3,-0.08,-0.04,-3.65,-0.28,0.0,0.55,0.62,-0.009000000000000001,-1.165,0.68,1.09,120.0,0.78,11,-0.069,0.62,0.09,1.04,,,,,-0.35
47,2.54,1.13,0.04,1013.85,88.0,0.084,-0.07,-0.392,1.52,0.83,-1.59,0.294,1.0,-3.0,-2.02,0.17,1024.0,0.61,-1.2,0.0,0.04,-3.98,-1.68,0.15,0.31,,0.05,-0.46399999999999997,0.02,0.01,0.0,0.69,12,1.9869999999999999,0.2,0.15,0.81,,,,,-0.41
48,0.92,0.57,-1.07,1010.38,-60.0,0.084,-0.41,-0.39399999999999996,1.44,0.64,-3.19,0.168,0.0,-4.0,-2.89,0.16699999999999998,954.0,0.14,-1.5,0.06,-0.04,-6.8,-2.01,0.08,0.13,1.59,-0.373,-1.444,-0.21,-0.07,4.0,0.4,1,0.368,1.43,0.19,0.53,,,,,-0.42
49,0.15,-1.38,-1.46,1007.72,-54.0,0.084,-0.15,-0.414,0.45,0.56,0.08,-0.293,0.0,-6.0,-1.44,0.17800000000000002,862.0,-0.04,-1.0,-0.01,-0.16,-7.71,-0.46,0.1,-0.01,-1.09,0.258,2.156,-0.08,-0.26,78.0,0.12,2,-1.7469999999999999,0.88,0.18,0.37,,,,,-0.35
50,-1.14,-1.97,0.16,1014.06,111.0,0.085,-0.02,-0.49200000000000005,1.68,0.07,-0.69,-0.368,0.0,-13.0,0.92,0.226,785.0,-0.15,0.9,-0.08,-0.34,-6.99,-0.63,-0.15,-0.11,-2.13,0.778,1.74,-0.41,-0.31,17.0,0.04,3,-1.859,0.06,0.16,0.34,,,,,-0.24
51,2.79,0.95,0.12,1013.69,20.0,0.085,0.04,-0.488,1.66,0.71,0.89,-0.374,0.0,-35.0,1.13,0.18600000000000003,840.0,-0.31,-0.4,-0.08,-0.16,-5.68,-1.05,-0.05,-0.02,-2.44,0.3,-1.652,-1.1,0.35,48.0,0.11,4,0.539,0.28,0.19,0.29,,,,,-0.2
52,-0.94,-0.99,0.24,1015.81,-46.0,0.085,0.13,-0.528,0.5,-0.5,-0.79,-0.5670000000000001,0.0,81.0,2.09,0.17600000000000002,809.0,-0.61,1.2,-0.19,-0.25,-4.76,-1.0,-0.12,-0.14,0.06,0.784,0.535,-0.93,0.24,86.0,-0.27,5,-0.774,0.93,0.18,0.2,,,,,-0.12
53,0.02,-0.1,-0.4,1014.48,-96.0,0.086,0.28,-0.655,0.7,-0.74,0.53,-0.718,0.0,-23.0,3.27,0.37799999999999995,848.0,-0.92,1.2,0.07,-0.47,-6.0,-1.43,-0.08,-0.54,-0.25,1.679,0.015,-1.2,0.85,1691.0,-0.7,6,-0.441,1.08,0.16,0.0,,,,,-0.11
54,-0.79,-0.06,-1.26,1018.43,-84.0,0.08800000000000001,0.17,-0.711,1.88,-0.54,-1.57,-0.7020000000000001,0.0,273.0,2.36,0.368,888.0,-0.99,0.8,-0.07,-0.77,-7.6,-1.25,0.07,-0.76,1.3,1.5919999999999999,-0.5379999999999999,-1.23,-0.16,3401.0,-0.6,7,0.38299999999999995,-1.02,0.12,-0.08,,,,,-0.15
55,-1.05,-0.49,-0.95,1016.99,-37.0,0.091,0.16,-0.787,2.1,-0.12,0.77,-0.703,1.75,355.0,2.04,0.39899999999999997,933.0,-0.68,0.1,-0.01,-0.79,-8.15,-0.6,0.12,-0.56,1.35,1.618,1.034,-1.11,2.42,1958.0,-0.46,8,-0.03,-1.43,0.11,0.0,,,,,-0.21
56,-3.02,-0.38,-1.68,1014.38,-87.0,0.09300000000000001,0.37,-0.62,1.0,-0.03,0.4,-0.7040000000000001,8.75,904.0,2.24,0.35700000000000004,815.0,-0.64,-0.4,-0.04,-0.37,-5.73,-0.89,0.11,-0.36,0.35,1.3659999999999999,0.375,-1.36,2.44,572.0,-0.49,9,-0.38299999999999995,-1.94,0.08,0.15,,,,,-0.22
57,0.42,-0.28,-0.42,1012.42,-8.0,0.095,0.26,-0.573,0.0,-0.06,1.05,-0.449,5.0,104.0,2.08,0.35,828.0,-0.62,0.6,-0.08,-0.7,-2.96,-0.35,-0.04,-0.46,1.1,1.126,0.623,-0.65,1.73,242.0,-0.52,10,-0.43700000000000006,1.39,0.06,0.1,,,,,-0.12
58,-1.51,-1.32,-1.55,1008.9,-59.0,0.096,0.28,-0.66,1.83,-0.02,0.77,-0.5660000000000001,0.0,0.0,2.25,0.24600000000000002,834.0,-1.03,0.0,0.0,-0.54,-0.51,-0.76,-0.2,-0.78,-0.62,0.9990000000000001,1.179,-0.82,1.05,0.0,-0.51,11,-1.891,0.61,-0.02,0.04,,,,,0.0
59,-0.31,-0.49,-0.26,1003.78,-30.0,0.09699999999999999,0.55,-0.633,0.82,0.41,0.63,-0.16699999999999998,0.0,2.0,3.63,0.336,857.0,-0.56,-2.0,-0.14,-0.69,-1.65,0.04,-0.05,-0.39,,1.744,-2.2969999999999997,-0.5,-0.05,35.0,-0.18,12,-1.827,0.71,-0.12,0.15,,,,,0.17
60,-0.02,-0.12,0.84,1002.53,-80.0,0.09699999999999999,0.46,-0.51,0.28,0.18,0.18,-0.027000000000000003,0.0,-2.0,3.16,0.26,832.0,0.06,0.5,-0.15,-0.34,-2.94,-0.57,0.06,0.2,0.24,1.7469999999999999,1.742,-0.44,-0.17,150.0,0.37,1,-1.036,-1.24,-0.15,0.4,,,,,0.23
61,0.54,-1.0,-0.25,1008.16,-73.0,0.098,0.41,-0.434,0.62,0.51,1.04,0.15,0.0,12.0,2.8,0.18,728.0,0.22,-0.8,-0.25,-0.22,-2.68,-0.07,0.06,0.24,-1.51,1.423,7.614,0.17,-0.12,6.0,0.21,2,-0.249,1.38,-0.08,0.6,,,,,0.01
62,1.25,-0.45,1.73,1014.61,-119.0,0.102,-0.04,-0.364,0.82,0.5,-0.44,0.325,0.0,29.0,1.32,0.13699999999999998,704.0,0.31,-0.3,0.01,-0.29,-1.22,-1.12,0.14,0.29,-2.29,0.701,2.595,0.74,0.57,0.0,0.3,3,1.068,0.58,0.02,0.63,,,,,-0.11
63,-1.6,-1.96,-1.66,1010.4,13.0,0.10400000000000001,0.18,-0.42,0.55,0.81,0.78,0.55,0.0,-33.0,2.12,0.308,810.0,0.13,0.3,-0.29,-0.14,1.3,0.05,0.15,0.22,-0.07,1.294,-0.9520000000000001,1.47,1.58,106.0,0.33,4,-1.256,-1.86,0.11,0.66,,,,,-0.17
64,-0.75,-0.56,0.09,1013.4,-96.0,0.106,0.11,-0.488,0.54,1.78,1.14,0.428,0.0,278.0,2.34,0.337,725.0,0.12,-2.8,-0.14,0.01,2.69,0.43,0.03,0.35,-0.63,1.105,-0.631,1.01,0.09,12.0,0.32,5,-0.562,-0.51,0.1,0.75,,,,,-0.03
65,-2.96,1.41,-0.71,1017.13,-31.0,0.10800000000000001,0.13,-0.526,0.36,0.62,-1.6,0.532,0.0,289.0,1.45,0.271,730.0,0.26,0.2,-0.1,0.18,1.86,0.29,0.01,0.39,3.88,0.99,1.682,0.31,0.48,1408.0,0.41,6,0.023,-0.57,0.06,0.77,,,,,-0.03
66,0.13,0.43,-0.71,1018.2,-95.0,0.109,0.18,-0.524,2.81,0.36,0.27,0.409,0.0,451.0,1.45,0.33899999999999997,698.0,-0.07,0.0,-0.07,-0.05,0.1,0.74,-0.07,0.14,0.99,0.519,0.185,0.0,0.25,2822.0,0.37,7,0.33299999999999996,-1.1,0.01,0.75,,,,,-0.03
67,3.26,-1.04,-1.41,1016.7,-31.0,0.111,0.24,-0.536,1.64,0.9,-1.15,0.196,2.75,188.0,1.52,0.253,755.0,-0.06,-2.0,-0.06,-0.22,-1.21,0.05,0.1,0.09,-0.54,0.049,0.19699999999999998,0.17,1.56,3087.0,0.37,8,0.085,1.04,0.01,0.73,,,,,-0.08
68,0.75,-0.19,0.58,1015.67,-20.0,0.113,0.2,-0.696,0.07,1.19,-0.14,0.12,13.75,214.0,1.52,0.275,743.0,0.28,-2.1,0.04,-0.46,-1.28,-0.63,0.09,0.29,0.12,0.452,-0.722,0.33,1.3,1290.0,0.41,9,0.662,-0.86,0.0,0.78,,,,,-0.1
69,0.77,1.95,0.0,1010.53,-33.0,0.114,0.16,-0.5589999999999999,0.72,0.16,2.27,0.128,2.5,88.0,0.35,0.14300000000000002,719.0,0.12,0.1,0.03,-0.1,-0.39,-1.09,0.07,0.16,-0.52,0.243,1.669,-0.18,0.47,402.0,0.13,10,-0.19399999999999998,0.36,0.01,0.84,,,,,-0.09
70,3.25,0.96,0.16,1005.94,-63.0,0.11599999999999999,0.16,-0.498,0.75,0.37,1.57,-0.426,0.0,21.0,0.69,0.239,714.0,0.04,-0.5,-0.18,-0.11,-0.59,-0.03,0.05,0.18,-2.15,0.6970000000000001,-0.853,-0.14,1.21,0.0,-0.12,11,0.354,-0.44,0.05,0.84,,,,,-0.06
71,0.15,-0.52,0.73,1008.12,-75.0,0.11599999999999999,0.17,-0.33299999999999996,0.46,0.41,0.96,-0.537,0.0,27.0,0.82,0.253,708.0,0.2,-0.8,-0.41,0.03,-2.18,0.07,0.18,0.41,,0.44,6.026,-0.59,-0.1,1.0,-0.01,12,0.575,0.84,0.09,0.81,,,,,-0.05
72,0.1,-0.08,0.52,1010.84,-63.0,0.11699999999999999,0.1,-0.34,1.01,0.0,-2.11,-0.655,0.0,-5.0,0.97,0.222,687.0,-0.16,1.1,-0.43,0.04,-5.05,-1.32,-0.25,0.43,0.6,0.685,0.5,-1.91,-0.13,55.0,-0.09,1,-0.14800000000000002,-0.26,0.13,0.76,,,,,-0.17
73,0.57,0.4,0.03,1007.36,-7.0,0.11599999999999999,-0.12,-0.28300000000000003,0.38,0.4,-0.48,-1.25,0.0,49.0,0.82,0.09,692.0,-0.13,-0.5,-0.5,-0.02,-6.88,-1.61,-0.04,0.28,-1.75,0.293,1.101,-1.22,-0.29,85.0,-0.21,2,-0.18100000000000002,-0.67,0.14,0.47,,,,,-0.33
74,-0.29,-1.27,0.48,1016.82,-77.0,0.115,-0.26,-0.35700000000000004,2.01,0.17,-1.44,-1.788,0.0,21.0,-0.17,0.096,719.0,-0.65,0.4,-0.52,-0.35,-7.98,-0.52,-0.08,-0.38,1.51,0.35100000000000003,-1.3030000000000002,-1.32,-0.77,88.0,-0.49,3,0.47600000000000003,0.66,0.16,-0.05,,,,,-0.46
75,-0.26,1.31,-0.29,1017.54,-142.0,0.114,-0.46,-0.43799999999999994,0.1,-0.31,-2.86,-1.702,0.0,60.0,-0.44,-0.019,687.0,-1.97,1.1,-0.4,-0.71,-9.01,-1.33,-0.12,-1.17,0.08,-0.628,0.7609999999999999,-3.09,-1.49,34.0,-0.44,4,0.512,-0.53,0.09,-0.41,,,,,-0.38
76,-0.91,-0.03,-2.13,1013.66,-54.0,0.114,0.05,-0.583,0.99,-0.34,0.65,-1.839,0.0,140.0,1.68,0.065,680.0,-1.64,0.8,-0.61,-0.71,-11.38,0.01,-0.19,-0.81,0.2,0.163,-1.173,-2.99,-1.29,32.0,-0.5,5,-1.656,1.39,-0.01,-0.54,,,,,-0.31
77,-0.94,0.06,0.58,1013.36,-46.0,0.113,0.04,-0.523,0.52,-0.44,0.09,-1.8,1.0,178.0,1.2,0.094,673.0,-1.58,0.2,-0.57,-0.8,-12.72,0.97,-0.21,-0.93,-1.64,0.166,0.498,-2.46,-1.71,1293.0,-0.47,6,-0.268,-1.63,-0.12,-0.5,,,,,-0.31
78,0.88,-0.57,-1.5,1018.15,-93.0,0.113,-0.19,-0.541,2.6,-0.81,-0.14,-1.338,0.0,594.0,0.39,-0.05,677.0,-1.46,0.7,-0.66,-1.08,-13.4,0.43,-0.26,-1.18,-1.79,0.353,0.40299999999999997,-2.83,-1.74,3657.0,-0.69,7,0.341,-0.34,-0.16,-0.64,,,,,-0.46
79,-0.59,-2.57,0.29,1016.84,-60.0,0.113,-0.13,-0.45,2.03,-1.16,-0.11,-0.982,4.0,777.0,-0.86,-0.02,699.0,-1.56,1.8,-0.39,-1.16,-14.53,0.08,-0.24,-1.43,0.83,-0.292,1.899,-1.69,-0.79,2073.0,-0.56,8,-0.122,1.89,-0.17,-0.84,,,,,-0.56
